mes	Invext	Export	Import	Ipc
1	15086.5	1087.5	2193.2	1.56
2	16308.4	921.5	2242.6	1.22
3	16272.7	941.6	1725.2	0.47
4	16097.1	826.7	2159.2	0.03
5	16265.7	924.1	1899	0.29
6	16385.5	884.8	2015.4	0.35
7	16869.2	855.8	1646.5	0.17
8	16885	952.6	1736.5	0.91
9	17129	711.9	1412.6	2.21
10	17701.9	763.3	1297.5	1.7
11	18550.5	946.1	2330.9	0.94
12	18644.7	831.8	1343.3	0.78
13	18871.3	926.1	1398.5	0.48
14	19050.1	1038.8	1552.1	0.28
15	19218.8	1018.8	1260.5	0.31
16	19352.4	1000.7	1273.4	0.5
17	19669.9	1061.1	1177.1	0.33
18	20196	964.5	1074	0.35
19	20562.8	1068.9	1173.4	0.48
20	20859.4	1243.4	1189.3	0.53
21	20960.1	1012.8	1184.9	1.29
22	21045.4	1059.4	1374.5	2.3
23	19877.2	1068.5	1273	1.71
24	19961.4	892.8	2664.6	1
